"","Color","Age","Height","Weight"
"Cats","Brown","1","1","1"
"Dogs","White","2","2","2.1"
"Fish","Gray","3","3","3.5"
"Rabbits","Gray","4","3","4"
"Birds","Gray","5","4","5"
"Hamsters","Gray","6","4","6"
"Guinea Pigs","Gray","7","5","7.8"
"Snakes","Gray","8","6","8"
"Rats","Gray","9","7","9.28"
"Mice","Gray","10","8","10"
"Horses","Gray","11","8","11.65"
"Cows","Gray","12","8","12.98"
"Donkeys","Gray","13","8","13"
"Mules","Gray","14","9","14"
"Pigs","Gray","15","10","15.66"
"Ferrets","Gray","16","11","17.2"
