"","Pets","Color","Age","Height","Weight"
"Cats","Cats","Brown","1","1","1"
"Dogs","Dogs","White","2","2","2.1"
"Fish","Fish","Gray","3","3","3.5"
"Rabbits","Rabbits","Gray","4","3","4"
"Birds","Birds","Gray","5","4","5"
"Hamsters","Hamsters","Gray","6","4","6"
"Guinea Pigs","Guinea Pigs","Gray","7","5","7.8"
"Snakes","Snakes","Gray","8","6","8"
"Rats","Rats","Gray","9","7","9.28"
"Mice","Mice","Gray","10","8","10"
"Horses","Horses","Gray","11","8","11.65"
"Cows","Cows","Gray","12","8","12.98"
"Donkeys","Donkeys","Gray","13","8","13"
"Mules","Mules","Gray","14","9","14"
"Pigs","Pigs","Gray","15","10","15.66"
"Ferrets","Ferrets","Gray","16","11","17.2"
