Winter.year,Site,mean.w.T
1985,CI1,3.384840947
1985,CI2,3.384840947
1985,CI4,3.384840947
1985,CI5,3.384840947
1985,LI1,3.480173422
1985,LI2,3.480173422
1985,LI4,3.480173422
1985,LI6,3.229730904
1985,LI7,3.229730904
1985,LI8,3.229730904
1986,CI1,2.713519278
1986,CI2,2.713519278
1986,CI4,2.713519278
1986,CI5,2.713519278
1986,LI1,2.810632879
1986,LI2,2.810632879
1986,LI4,2.810632879
1986,LI6,2.552020308
1986,LI7,2.552020308
1986,LI8,2.552020308
1987,CI1,3.657043709
1987,CI2,3.657043709
1987,CI4,3.657043709
1987,CI5,3.657043709
1987,LI1,3.760370004
1987,LI2,3.760370004
1987,LI4,3.760370004
1987,LI6,3.512033644
1987,LI7,3.512033644
1987,LI8,3.512033644
1988,CI1,4.387253328
1988,CI2,4.387253328
1988,CI4,4.387253328
1988,CI5,4.387253328
1988,LI1,4.504209692
1988,LI2,4.504209692
1988,LI4,4.504209692
1988,LI6,4.256104419
1988,LI7,4.256104419
1988,LI8,4.256104419
1989,CI1,5.180329666
1989,CI2,5.180329666
1989,CI4,5.180329666
1989,CI5,5.180329666
1989,LI1,5.310443554
1989,LI2,5.310443554
1989,LI4,5.310443554
1989,LI6,5.089605324
1989,LI7,5.089605324
1989,LI8,5.089605324
1990,CI1,5.599578364
1990,CI2,5.599578364
1990,CI4,5.599578364
1990,CI5,5.599578364
1990,LI1,5.739345941
1990,LI2,5.739345941
1990,LI4,5.739345941
1990,LI6,5.521009284
1990,LI7,5.521009284
1990,LI8,5.521009284
1991,CI1,3.888974488
1991,CI2,3.888974488
1991,CI4,3.888974488
1991,CI5,3.888974488
1991,LI1,4.031257923
1991,LI2,4.031257923
1991,LI4,4.031257923
1991,LI6,3.806840839
1991,LI7,3.806840839
1991,LI8,3.806840839
1992,CI1,4.398545854
1992,CI2,4.398545854
1992,CI4,4.398545854
1992,CI5,4.398545854
1992,LI1,4.529361874
1992,LI2,4.529361874
1992,LI4,4.529361874
1992,LI6,4.305754976
1992,LI7,4.305754976
1992,LI8,4.305754976
1993,CI1,4.114863499
1993,CI2,4.114863499
1993,CI4,4.114863499
1993,CI5,4.114863499
1993,LI1,4.22601591
1993,LI2,4.22601591
1993,LI4,4.22601591
1993,LI6,3.98547293
1993,LI7,3.98547293
1993,LI8,3.98547293
1994,CI1,3.740805427
1994,CI2,3.740805427
1994,CI4,3.740805427
1994,CI5,3.740805427
1994,LI1,3.869901325
1994,LI2,3.869901325
1994,LI4,3.869901325
1994,LI6,3.647368662
1994,LI7,3.647368662
1994,LI8,3.647368662
1995,CI1,5.424587327
1995,CI2,5.424587327
1995,CI4,5.424587327
1995,CI5,5.424587327
1995,LI1,5.539006621
1995,LI2,5.539006621
1995,LI4,5.539006621
1995,LI6,5.302815489
1995,LI7,5.302815489
1995,LI8,5.302815489
1996,CI1,3.945677359
1996,CI2,3.945677359
1996,CI4,3.945677359
1996,CI5,3.945677359
1996,LI1,4.078447691
1996,LI2,4.078447691
1996,LI4,4.078447691
1996,LI6,3.853118369
1996,LI7,3.853118369
1996,LI8,3.853118369
1997,CI1,4.306174996
1997,CI2,4.306174996
1997,CI4,4.306174996
1997,CI5,4.306174996
1997,LI1,4.437606552
1997,LI2,4.437606552
1997,LI4,4.437606552
1997,LI6,4.20281279
1997,LI7,4.20281279
1997,LI8,4.20281279
1998,CI1,5.671945059
1998,CI2,5.671945059
1998,CI4,5.671945059
1998,CI5,5.671945059
1998,LI1,5.799267357
1998,LI2,5.799267357
1998,LI4,5.799267357
1998,LI6,5.560018008
1998,LI7,5.560018008
1998,LI8,5.560018008
1999,CI1,4.826545351
1999,CI2,4.826545351
1999,CI4,4.826545351
1999,CI5,4.826545351
1999,LI1,4.946755988
1999,LI2,4.946755988
1999,LI4,4.946755988
1999,LI6,4.711555406
1999,LI7,4.711555406
1999,LI8,4.711555406
2000,CI1,4.933154452
2000,CI2,4.933154452
2000,CI4,4.933154452
2000,CI5,4.933154452
2000,LI1,5.067836057
2000,LI2,5.067836057
2000,LI4,5.067836057
2000,LI6,4.837309979
2000,LI7,4.837309979
2000,LI8,4.837309979
2001,CI1,3.983914083
2001,CI2,3.983914083
2001,CI4,3.983914083
2001,CI5,3.983914083
2001,LI1,4.103733619
2001,LI2,4.103733619
2001,LI4,4.103733619
2001,LI6,3.873403418
2001,LI7,3.873403418
2001,LI8,3.873403418
2002,CI1,5.522494087
2002,CI2,5.522494087
2002,CI4,5.522494087
2002,CI5,5.522494087
2002,LI1,5.644741686
2002,LI2,5.644741686
2002,LI4,5.644741686
2002,LI6,5.417402983
2002,LI7,5.417402983
2002,LI8,5.417402983
2003,CI1,4.942674309
2003,CI2,4.942674309
2003,CI4,4.942674309
2003,CI5,4.942674309
2003,LI1,5.039903675
2003,LI2,5.039903675
2003,LI4,5.039903675
2003,LI6,4.803824531
2003,LI7,4.803824531
2003,LI8,4.803824531
2004,CI1,4.371831127
2004,CI2,4.371831127
2004,CI4,4.371831127
2004,CI5,4.371831127
2004,LI1,4.520435753
2004,LI2,4.520435753
2004,LI4,4.520435753
2004,LI6,4.297075786
2004,LI7,4.297075786
2004,LI8,4.297075786
2005,CI1,5.043111193
2005,CI2,5.043111193
2005,CI4,5.043111193
2005,CI5,5.043111193
2005,LI1,5.183021055
2005,LI2,5.183021055
2005,LI4,5.183021055
2005,LI6,4.95989468
2005,LI7,4.95989468
2005,LI8,4.95989468
2006,CI1,4.227618673
2006,CI2,4.227618673
2006,CI4,4.227618673
2006,CI5,4.227618673
2006,LI1,4.352250542
2006,LI2,4.352250542
2006,LI4,4.352250542
2006,LI6,4.129679184
2006,LI7,4.129679184
2006,LI8,4.129679184
2007,CI1,5.781294938
2007,CI2,5.781294938
2007,CI4,5.781294938
2007,CI5,5.781294938
